benchmark,run,result
quadratic,baseline,785
quadratic,tdce,783
quadratic,dkp,785
quadratic,tdce_plus,783
quadratic,lvn,785
quadratic,full,731
montgomery,baseline,17
montgomery,tdce,17
montgomery,dkp,17
montgomery,tdce_plus,17
montgomery,lvn,17
montgomery,full,17
primes-between,baseline,574100
primes-between,tdce,574100
primes-between,dkp,574100
primes-between,tdce_plus,574100
primes-between,lvn,574100
primes-between,full,574100
mod_pow,baseline,243
mod_pow,tdce,243
mod_pow,dkp,243
mod_pow,tdce_plus,243
mod_pow,lvn,243
mod_pow,full,215
orders,baseline,5352
orders,tdce,5352
orders,dkp,5352
orders,tdce_plus,5352
orders,lvn,5352
orders,full,5352
sum-check,baseline,5018
sum-check,tdce,5018
sum-check,dkp,5018
sum-check,tdce_plus,5018
sum-check,lvn,5018
sum-check,full,5018
palindrome,baseline,298
palindrome,tdce,298
palindrome,dkp,298
palindrome,tdce_plus,298
palindrome,lvn,298
palindrome,full,298
totient,baseline,253
totient,tdce,253
totient,dkp,253
totient,tdce_plus,253
totient,lvn,253
totient,full,253
fib_recursive,baseline,2693
fib_recursive,tdce,2693
fib_recursive,dkp,2693
fib_recursive,tdce_plus,2693
fib_recursive,lvn,2693
fib_recursive,full,2605
relative-primes,baseline,1923
relative-primes,tdce,1914
relative-primes,dkp,1923
relative-primes,tdce_plus,1914
relative-primes,lvn,1923
relative-primes,full,1869
hanoi,baseline,99
hanoi,tdce,99
hanoi,dkp,99
hanoi,tdce_plus,99
hanoi,lvn,99
hanoi,full,99
is-decreasing,baseline,127
is-decreasing,tdce,127
is-decreasing,dkp,127
is-decreasing,tdce_plus,127
is-decreasing,lvn,127
is-decreasing,full,121
check-primes,baseline,8468
check-primes,tdce,8419
check-primes,dkp,8468
check-primes,tdce_plus,8419
check-primes,lvn,8468
check-primes,full,7721
sum-sq-diff,baseline,3038
sum-sq-diff,tdce,3036
sum-sq-diff,dkp,3038
sum-sq-diff,tdce_plus,3036
sum-sq-diff,lvn,3038
sum-sq-diff,full,2734
fitsinside,baseline,10
fitsinside,tdce,10
fitsinside,dkp,10
fitsinside,tdce_plus,10
fitsinside,lvn,10
fitsinside,full,10
hamming,baseline,117
hamming,tdce,117
hamming,dkp,117
hamming,tdce_plus,117
hamming,lvn,117
hamming,full,117
fact,baseline,229
fact,tdce,228
fact,dkp,229
fact,tdce_plus,228
fact,lvn,229
fact,full,208
loopfact,baseline,116
loopfact,tdce,115
loopfact,dkp,116
loopfact,tdce_plus,115
loopfact,lvn,116
loopfact,full,107
recfact,baseline,104
recfact,tdce,103
recfact,dkp,104
recfact,tdce_plus,103
recfact,lvn,104
recfact,full,96
geometric-sum,baseline,35
geometric-sum,tdce,35
geometric-sum,dkp,35
geometric-sum,tdce_plus,35
geometric-sum,lvn,35
geometric-sum,full,35
factors,baseline,72
factors,tdce,72
factors,dkp,72
factors,tdce_plus,72
factors,lvn,72
factors,full,72
perfect,baseline,232
perfect,tdce,232
perfect,dkp,232
perfect,tdce_plus,232
perfect,lvn,232
perfect,full,232
binpow,baseline,105
binpow,tdce,105
binpow,dkp,105
binpow,tdce_plus,105
binpow,lvn,105
binpow,full,105
bitshift,baseline,167
bitshift,tdce,167
bitshift,dkp,167
bitshift,tdce_plus,167
bitshift,lvn,167
bitshift,full,147
digital-root,baseline,247
digital-root,tdce,247
digital-root,dkp,247
digital-root,tdce_plus,247
digital-root,lvn,247
digital-root,full,247
up-arrow,baseline,252
up-arrow,tdce,252
up-arrow,dkp,252
up-arrow,tdce_plus,252
up-arrow,lvn,252
up-arrow,full,252
mccarthy91,baseline,1385
mccarthy91,tdce,1385
mccarthy91,dkp,1385
mccarthy91,tdce_plus,1385
mccarthy91,lvn,1385
mccarthy91,full,1385
sum-divisors,baseline,159
sum-divisors,tdce,159
sum-divisors,dkp,159
sum-divisors,tdce_plus,159
sum-divisors,lvn,159
sum-divisors,full,159
permutation,baseline,130
permutation,tdce,129
permutation,dkp,130
permutation,tdce_plus,129
permutation,lvn,130
permutation,full,121
combination,baseline,178
combination,tdce,178
combination,dkp,178
combination,tdce_plus,178
combination,lvn,178
combination,full,178
ackermann,baseline,1464231
ackermann,tdce,1464231
ackermann,dkp,1464231
ackermann,tdce_plus,1464231
ackermann,lvn,1464231
ackermann,full,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,tdce,61518
pythagorean_triple,dkp,61518
pythagorean_triple,tdce_plus,61518
pythagorean_triple,lvn,61518
pythagorean_triple,full,61518
euclid,baseline,563
euclid,tdce,562
euclid,dkp,563
euclid,tdce_plus,562
euclid,lvn,563
euclid,full,502
bbs,baseline,137
bbs,tdce,137
bbs,dkp,137
bbs,tdce_plus,137
bbs,lvn,137
bbs,full,137
binary-fmt,baseline,100
binary-fmt,tdce,100
binary-fmt,dkp,100
binary-fmt,tdce_plus,100
binary-fmt,lvn,100
binary-fmt,full,100
lcm,baseline,2326
lcm,tdce,2326
lcm,dkp,2326
lcm,tdce_plus,2326
lcm,lvn,2326
lcm,full,2326
gcd,baseline,46
gcd,tdce,46
gcd,dkp,46
gcd,tdce_plus,46
gcd,lvn,46
gcd,full,46
catalan,baseline,659378
catalan,tdce,659378
catalan,dkp,659378
catalan,tdce_plus,659378
catalan,lvn,659378
catalan,full,659378
armstrong,baseline,133
armstrong,tdce,130
armstrong,dkp,133
armstrong,tdce_plus,130
armstrong,lvn,133
armstrong,full,130
pascals-row,baseline,146
pascals-row,tdce,139
pascals-row,dkp,146
pascals-row,tdce_plus,139
pascals-row,lvn,146
pascals-row,full,124
collatz,baseline,169
collatz,tdce,169
collatz,dkp,169
collatz,tdce_plus,169
collatz,lvn,169
collatz,full,169
sum-bits,baseline,73
sum-bits,tdce,73
sum-bits,dkp,73
sum-bits,tdce_plus,73
sum-bits,lvn,73
sum-bits,full,73
sqrt_bin_search,baseline,744
sqrt_bin_search,tdce,718
sqrt_bin_search,dkp,744
sqrt_bin_search,tdce_plus,718
sqrt_bin_search,lvn,744
sqrt_bin_search,full,693
rectangles-area-difference,baseline,14
rectangles-area-difference,tdce,14
rectangles-area-difference,dkp,14
rectangles-area-difference,tdce_plus,14
rectangles-area-difference,lvn,14
rectangles-area-difference,full,14
mod_inv,baseline,558
mod_inv,tdce,555
mod_inv,dkp,558
mod_inv,tdce_plus,555
mod_inv,lvn,558
mod_inv,full,471
karatsuba,baseline,1548
karatsuba,tdce,1548
karatsuba,dkp,1548
karatsuba,tdce_plus,1548
karatsuba,lvn,1548
karatsuba,full,1548
reverse,baseline,46
reverse,tdce,46
reverse,dkp,46
reverse,tdce_plus,46
reverse,lvn,46
reverse,full,46
fizz-buzz,baseline,3652
fizz-buzz,tdce,3552
fizz-buzz,dkp,3652
fizz-buzz,tdce_plus,3552
fizz-buzz,lvn,3652
fizz-buzz,full,3052
bitwise-ops,baseline,1690
bitwise-ops,tdce,1689
bitwise-ops,dkp,1690
bitwise-ops,tdce_plus,1689
bitwise-ops,lvn,1690
bitwise-ops,full,1689
sum-digits,baseline,219
sum-digits,tdce,218
sum-digits,dkp,219
sum-digits,tdce_plus,218
sum-digits,lvn,219
sum-digits,full,188
delannoy,baseline,5748752
delannoy,tdce,5748751
delannoy,dkp,5748752
delannoy,tdce_plus,5748751
delannoy,lvn,5748752
delannoy,full,4552974
